"id","name","type1","type2","hp","attack","defense","special_attack","special_defense","speed","sprite"
1,"bulbasaur","grass","poison",45,49,49,65,65,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png"
2,"ivysaur","grass","poison",60,62,63,80,80,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png"
3,"venusaur","grass","poison",80,82,83,100,100,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png"
4,"charmander","fire",NA,39,52,43,60,50,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png"
5,"charmeleon","fire",NA,58,64,58,80,65,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png"
6,"charizard","fire","flying",78,84,78,109,85,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png"
7,"squirtle","water",NA,44,48,65,50,64,43,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png"
8,"wartortle","water",NA,59,63,80,65,80,58,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png"
9,"blastoise","water",NA,79,83,100,85,105,78,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png"
10,"caterpie","bug",NA,45,30,35,20,20,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png"
11,"metapod","bug",NA,50,20,55,25,25,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png"
12,"butterfree","bug","flying",60,45,50,90,80,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png"
13,"weedle","bug","poison",40,35,30,20,20,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png"
14,"kakuna","bug","poison",45,25,50,25,25,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png"
15,"beedrill","bug","poison",65,90,40,45,80,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png"
16,"pidgey","normal","flying",40,45,40,35,35,56,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png"
17,"pidgeotto","normal","flying",63,60,55,50,50,71,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png"
18,"pidgeot","normal","flying",83,80,75,70,70,101,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png"
19,"rattata","normal",NA,30,56,35,25,35,72,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png"
20,"raticate","normal",NA,55,81,60,50,70,97,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png"
21,"spearow","normal","flying",40,60,30,31,31,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png"
22,"fearow","normal","flying",65,90,65,61,61,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png"
23,"ekans","poison",NA,35,60,44,40,54,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png"
24,"arbok","poison",NA,60,95,69,65,79,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png"
25,"pikachu","electric",NA,35,55,40,50,50,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png"
26,"raichu","electric",NA,60,90,55,90,80,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png"
27,"sandshrew","ground",NA,50,75,85,20,30,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png"
28,"sandslash","ground",NA,75,100,110,45,55,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png"
29,"nidoran-f","poison",NA,55,47,52,40,40,41,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png"
30,"nidorina","poison",NA,70,62,67,55,55,56,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png"
31,"nidoqueen","poison","ground",90,92,87,75,85,76,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png"
32,"nidoran-m","poison",NA,46,57,40,40,40,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png"
33,"nidorino","poison",NA,61,72,57,55,55,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png"
34,"nidoking","poison","ground",81,102,77,85,75,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png"
35,"clefairy","fairy",NA,70,45,48,60,65,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png"
36,"clefable","fairy",NA,95,70,73,95,90,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png"
37,"vulpix","fire",NA,38,41,40,50,65,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png"
38,"ninetales","fire",NA,73,76,75,81,100,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png"
39,"jigglypuff","normal","fairy",115,45,20,45,25,20,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png"
40,"wigglytuff","normal","fairy",140,70,45,85,50,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png"
41,"zubat","poison","flying",40,45,35,30,40,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png"
42,"golbat","poison","flying",75,80,70,65,75,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png"
43,"oddish","grass","poison",45,50,55,75,65,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png"
44,"gloom","grass","poison",60,65,70,85,75,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png"
45,"vileplume","grass","poison",75,80,85,110,90,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png"
46,"paras","bug","grass",35,70,55,45,55,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png"
47,"parasect","bug","grass",60,95,80,60,80,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png"
48,"venonat","bug","poison",60,55,50,40,55,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png"
49,"venomoth","bug","poison",70,65,60,90,75,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png"
50,"diglett","ground",NA,10,55,25,35,45,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png"
51,"dugtrio","ground",NA,35,100,50,50,70,120,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png"
52,"meowth","normal",NA,40,45,35,40,40,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png"
53,"persian","normal",NA,65,70,60,65,65,115,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png"
54,"psyduck","water",NA,50,52,48,65,50,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png"
55,"golduck","water",NA,80,82,78,95,80,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png"
56,"mankey","fighting",NA,40,80,35,35,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png"
57,"primeape","fighting",NA,65,105,60,60,70,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png"
58,"growlithe","fire",NA,55,70,45,70,50,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png"
59,"arcanine","fire",NA,90,110,80,100,80,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png"
60,"poliwag","water",NA,40,50,40,40,40,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png"
61,"poliwhirl","water",NA,65,65,65,50,50,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png"
62,"poliwrath","water","fighting",90,95,95,70,90,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png"
63,"abra","psychic",NA,25,20,15,105,55,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png"
64,"kadabra","psychic",NA,40,35,30,120,70,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png"
65,"alakazam","psychic",NA,55,50,45,135,95,120,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png"
66,"machop","fighting",NA,70,80,50,35,35,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png"
67,"machoke","fighting",NA,80,100,70,50,60,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png"
68,"machamp","fighting",NA,90,130,80,65,85,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png"
69,"bellsprout","grass","poison",50,75,35,70,30,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png"
70,"weepinbell","grass","poison",65,90,50,85,45,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png"
71,"victreebel","grass","poison",80,105,65,100,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png"
72,"tentacool","water","poison",40,40,35,50,100,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png"
73,"tentacruel","water","poison",80,70,65,80,120,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png"
74,"geodude","rock","ground",40,80,100,30,30,20,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png"
75,"graveler","rock","ground",55,95,115,45,45,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png"
76,"golem","rock","ground",80,120,130,55,65,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png"
77,"ponyta","fire",NA,50,85,55,65,65,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png"
78,"rapidash","fire",NA,65,100,70,80,80,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png"
79,"slowpoke","water","psychic",90,65,65,40,40,15,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png"
80,"slowbro","water","psychic",95,75,110,100,80,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png"
81,"magnemite","electric","steel",25,35,70,95,55,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png"
82,"magneton","electric","steel",50,60,95,120,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png"
83,"farfetchd","normal","flying",52,90,55,58,62,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png"
84,"doduo","normal","flying",35,85,45,35,35,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png"
85,"dodrio","normal","flying",60,110,70,60,60,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png"
86,"seel","water",NA,65,45,55,45,70,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png"
87,"dewgong","water","ice",90,70,80,70,95,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png"
88,"grimer","poison",NA,80,80,50,40,50,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png"
89,"muk","poison",NA,105,105,75,65,100,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png"
90,"shellder","water",NA,30,65,100,45,25,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png"
91,"cloyster","water","ice",50,95,180,85,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png"
92,"gastly","ghost","poison",30,35,30,100,35,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png"
93,"haunter","ghost","poison",45,50,45,115,55,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png"
94,"gengar","ghost","poison",60,65,60,130,75,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png"
95,"onix","rock","ground",35,45,160,30,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png"
96,"drowzee","psychic",NA,60,48,45,43,90,42,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png"
97,"hypno","psychic",NA,85,73,70,73,115,67,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png"
98,"krabby","water",NA,30,105,90,25,25,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png"
99,"kingler","water",NA,55,130,115,50,50,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png"
100,"voltorb","electric",NA,40,30,50,55,55,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png"
101,"electrode","electric",NA,60,50,70,80,80,150,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png"
102,"exeggcute","grass","psychic",60,40,80,60,45,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png"
103,"exeggutor","grass","psychic",95,95,85,125,75,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png"
104,"cubone","ground",NA,50,50,95,40,50,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png"
105,"marowak","ground",NA,60,80,110,50,80,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png"
106,"hitmonlee","fighting",NA,50,120,53,35,110,87,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png"
107,"hitmonchan","fighting",NA,50,105,79,35,110,76,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png"
108,"lickitung","normal",NA,90,55,75,60,75,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png"
109,"koffing","poison",NA,40,65,95,60,45,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png"
110,"weezing","poison",NA,65,90,120,85,70,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png"
111,"rhyhorn","ground","rock",80,85,95,30,30,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png"
112,"rhydon","ground","rock",105,130,120,45,45,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png"
113,"chansey","normal",NA,250,5,5,35,105,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png"
114,"tangela","grass",NA,65,55,115,100,40,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png"
115,"kangaskhan","normal",NA,105,95,80,40,80,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png"
116,"horsea","water",NA,30,40,70,70,25,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png"
117,"seadra","water",NA,55,65,95,95,45,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png"
118,"goldeen","water",NA,45,67,60,35,50,63,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png"
119,"seaking","water",NA,80,92,65,65,80,68,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png"
120,"staryu","water",NA,30,45,55,70,55,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png"
121,"starmie","water","psychic",60,75,85,100,85,115,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png"
122,"mr-mime","psychic","fairy",40,45,65,100,120,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png"
123,"scyther","bug","flying",70,110,80,55,80,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png"
124,"jynx","ice","psychic",65,50,35,115,95,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png"
125,"electabuzz","electric",NA,65,83,57,95,85,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png"
126,"magmar","fire",NA,65,95,57,100,85,93,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png"
127,"pinsir","bug",NA,65,125,100,55,70,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png"
128,"tauros","normal",NA,75,100,95,40,70,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png"
129,"magikarp","water",NA,20,10,55,15,20,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png"
130,"gyarados","water","flying",95,125,79,60,100,81,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png"
131,"lapras","water","ice",130,85,80,85,95,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png"
132,"ditto","normal",NA,48,48,48,48,48,48,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png"
133,"eevee","normal",NA,55,55,50,45,65,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png"
134,"vaporeon","water",NA,130,65,60,110,95,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png"
135,"jolteon","electric",NA,65,65,60,110,95,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png"
136,"flareon","fire",NA,65,130,60,95,110,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png"
137,"porygon","normal",NA,65,60,70,85,75,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png"
138,"omanyte","rock","water",35,40,100,90,55,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png"
139,"omastar","rock","water",70,60,125,115,70,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png"
140,"kabuto","rock","water",30,80,90,55,45,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png"
141,"kabutops","rock","water",60,115,105,65,70,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png"
142,"aerodactyl","rock","flying",80,105,65,60,75,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png"
143,"snorlax","normal",NA,160,110,65,65,110,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png"
144,"articuno","ice","flying",90,85,100,95,125,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png"
145,"zapdos","electric","flying",90,90,85,125,90,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png"
146,"moltres","fire","flying",90,100,90,125,85,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png"
147,"dratini","dragon",NA,41,64,45,50,50,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png"
148,"dragonair","dragon",NA,61,84,65,70,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png"
149,"dragonite","dragon","flying",91,134,95,100,100,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png"
150,"mewtwo","psychic",NA,106,110,90,154,90,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png"
